"year","season","plot","ambr arte","amsi tess","astr allo","astr nutt","bail mult","caly wrig","chae stev","chen frem","cryp cras","cryp micr","dale brac","desc obtu","desc pinn","dith wisl","eria diff","erig dive","erio aber","erod cicu","erod texa","esch mexi","gili sinu","hapl grac","lapp redo","lepi lasi","lesq gord","lina bige","lina texa","lupi conc","mala fend","micr lene","nama hisp","oeno prim","pani hirt","pect recu","phac ariz","plag ariz","plan purs","sper echi","step exig","vulp octo"
1982,"winter",1,0,0,0,0,0,0,0,0,5,87,0,0,38,0,131,11,793,1,0,0,83,0,0,0,0,0,0,0,27,0,1,0,0,0,1,0,0,1,0,0
1982,"winter",2,0,0,0,0,0,0,0,0,1,69,0,0,173,0,240,3,651,3,0,0,80,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,2,0,0
1982,"winter",3,0,0,0,0,0,0,0,0,0,14,0,0,35,1,101,0,1497,0,0,0,27,0,0,2,1,0,0,0,83,0,0,0,0,0,5,0,0,1,0,0
1982,"winter",4,0,0,0,0,0,0,0,0,6,3,0,0,135,0,58,0,1364,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,2,0,0,0,0,0
1982,"winter",5,0,0,0,0,0,0,0,0,10,2,0,0,32,0,27,0,1453,0,0,0,0,1,0,0,0,0,0,0,75,0,0,0,0,0,12,0,0,14,0,0
1982,"winter",6,0,0,0,0,0,0,0,0,8,11,0,0,71,0,36,0,1223,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,3,0,0,4,0,0
1982,"winter",7,0,0,0,0,0,0,0,0,4,1,0,0,18,0,2,0,507,81,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
1982,"winter",9,0,0,0,0,0,0,0,0,6,6,0,0,50,0,21,1,557,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,10,0,0,7,0,0
1982,"winter",10,0,0,0,0,0,0,0,0,26,5,0,0,14,0,1183,3,851,7,0,0,0,13,0,3,0,0,0,0,39,0,0,0,0,0,2,0,0,0,0,0
1982,"winter",11,0,0,0,0,0,0,0,0,5,14,0,0,56,0,479,0,1477,0,0,0,2,0,0,0,1,0,0,0,44,0,0,0,0,0,27,0,0,0,0,0
1982,"winter",13,0,0,0,0,2,0,0,0,4,18,0,0,41,0,48,0,846,0,0,0,21,0,0,0,0,0,0,0,52,0,0,0,0,0,8,0,0,15,0,0
1982,"winter",14,0,0,0,0,0,0,0,0,4,0,0,0,99,0,14,0,622,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,14,0,0,3,0,0
1982,"winter",16,0,0,0,1,1,0,0,0,4,5,0,0,53,0,92,0,386,15,0,0,0,0,0,0,0,0,0,0,78,0,4,0,0,0,0,0,0,4,0,0
1982,"winter",17,0,0,0,8,6,0,0,0,8,0,0,0,64,0,55,0,393,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,18,0,0,5,0,0
1982,"winter",18,0,0,0,0,0,0,0,0,2,0,0,0,201,0,9,0,712,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,34,0,0,2,0,0
1982,"winter",19,0,0,0,0,5,0,0,0,2,1,0,0,7,0,60,0,373,3,0,0,0,1,0,22,12,0,0,0,16,0,0,0,0,0,36,0,0,0,0,0
1982,"winter",20,0,0,0,0,0,0,0,0,2,0,0,0,58,0,43,0,593,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,26,0,0,11,0,0
1982,"winter",22,0,0,0,0,1,0,0,0,1,18,0,0,144,0,128,0,485,0,0,0,21,1,6,0,0,0,0,0,15,0,0,0,0,0,2,0,0,1,0,0
1982,"winter",23,0,0,3,0,1,0,1,2,5,31,0,0,73,0,280,0,504,0,0,0,0,6,0,2,3,0,0,0,23,0,0,0,0,0,12,0,2,2,0,0
1982,"winter",24,0,0,0,0,2,0,1,0,11,4,0,0,9,1,51,0,643,0,0,0,0,0,0,8,2,0,0,0,43,0,0,0,0,0,7,4,0,0,0,0
1983,"winter",1,0,0,0,1,0,0,0,0,11,262,0,0,153,0,319,7,1728,2,0,0,122,0,0,1,0,0,0,0,69,2,0,0,0,0,7,0,0,21,0,0
1983,"winter",2,0,0,0,1,0,0,0,0,2,76,0,0,220,0,266,2,908,5,0,0,134,0,0,1,0,0,0,0,31,0,0,0,0,0,2,0,0,10,0,0
1983,"winter",3,0,0,0,0,2,0,0,0,5,121,0,0,131,0,343,10,947,2,1,0,73,0,0,1,1,0,0,0,135,7,0,0,0,0,2,0,0,14,0,0
1983,"winter",4,0,0,1,0,5,0,0,0,10,27,0,0,181,0,262,0,1136,0,0,108,4,0,0,0,0,0,0,0,134,1,0,0,0,0,8,0,0,7,4,0
1983,"winter",5,0,0,0,2,9,0,0,0,20,5,0,0,88,0,31,1,1046,0,0,0,4,6,0,0,0,0,0,0,40,1,0,0,0,0,10,0,0,40,0,0
1983,"winter",6,0,0,10,2,1,0,0,0,8,32,0,0,160,0,65,11,795,0,0,0,16,0,0,0,0,0,0,0,94,5,0,0,0,0,1,0,0,30,2,0
1983,"winter",7,0,0,0,4,6,0,0,0,8,1,0,0,23,0,36,0,669,373,1,0,0,29,0,9,0,0,0,0,21,4,0,0,0,0,4,0,0,6,0,0
1983,"winter",8,0,0,0,0,0,0,0,0,5,177,0,0,116,0,229,19,583,0,0,0,46,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
1983,"winter",9,0,0,2,0,2,0,0,0,7,12,0,0,69,0,36,1,595,0,0,0,8,0,0,0,0,0,0,0,55,0,0,0,0,0,8,0,0,23,0,0
